Subject_ID,Age,Handedness,languageCount,musicInstrument,musicPractice,musicTraining,Trial Number,Target Angle,Hand Angle,RT,MT,Hand_Path
164800,19,righth,3+,yes,0,"""0-1""",24,45,131.0504344,2605,692,"{""last_x"": 691, ""sample_1_y"": 439, ""sample_1_time"": 183, ""sample_0_y"": 481, ""sample_1_x"": 852, ""sample_2_time"": 350, ""sample_4_y"": 262, ""first_y"": 481, ""sample_4_x"": 691, ""count"": 79, ""first_x"": 889, ""sample_0_time"": 8, ""sample_2_y"": 403, ""first_time"": 8, ""sample_3_time"": 515, ""sample_4_time"": 691, ""sample_3_x"": 727, ""sample_3_y"": 331, ""last_y"": 262, ""sample_2_x"": 804, ""sample_0_x"": 889, ""last_time"": 691}"
164800,19,righth,3+,yes,0,"""0-1""",25,225,311.2027521,2260,1195,"{""sample_1_time"": 299, ""sample_0_x"": 917, ""first_x"": 917, ""sample_4_time"": 1195, ""count"": 140, ""last_y"": 743, ""sample_3_y"": 700, ""sample_3_time"": 899, ""sample_1_y"": 595, ""sample_0_y"": 512, ""sample_2_time"": 607, ""sample_0_time"": 7, ""sample_3_x"": 1069, ""last_time"": 1195, ""first_time"": 7, ""sample_4_y"": 743, ""sample_1_x"": 976, ""sample_2_x"": 1025, ""sample_2_y"": 655, ""last_x"": 1111, ""first_y"": 512, ""sample_4_x"": 1111}"
164800,19,righth,3+,yes,0,"""0-1""",26,315,311.3045147,4277,1281,"{""sample_3_y"": 703, ""sample_0_x"": 921, ""sample_4_time"": 1281, ""sample_1_x"": 971, ""sample_2_x"": 1029, ""sample_0_y"": 519, ""last_y"": 741, ""sample_4_y"": 741, ""last_time"": 1281, ""sample_2_y"": 654, ""count"": 131, ""first_time"": 8, ""sample_4_x"": 1110, ""sample_2_time"": 550, ""sample_1_y"": 578, ""sample_3_time"": 842, ""first_y"": 519, ""sample_0_time"": 8, ""first_x"": 921, ""sample_3_x"": 1083, ""sample_1_time"": 275, ""last_x"": 1110}"
164800,19,righth,3+,yes,0,"""0-1""",27,225,213.1957245,2596,3482,"{""first_y"": 522, ""sample_2_y"": 723, ""sample_3_x"": 811, ""first_time"": 6, ""sample_1_y"": 647, ""sample_3_y"": 604, ""last_time"": 3482, ""sample_4_y"": 678, ""count"": 316, ""sample_4_time"": 3482, ""sample_2_time"": 1398, ""sample_4_x"": 631, ""sample_1_time"": 724, ""sample_3_time"": 2231, ""sample_2_x"": 676, ""sample_0_time"": 6, ""sample_1_x"": 729, ""sample_0_y"": 522, ""last_y"": 678, ""first_x"": 886, ""last_x"": 631, ""sample_0_x"": 886}"
164800,19,righth,3+,yes,0,"""0-1""",28,225,220.679195,2698,1075,"{""sample_4_time"": 1075, ""last_y"": 710, ""first_x"": 890, ""count"": 125, ""sample_3_y"": 661, ""sample_0_time"": 8, ""sample_3_time"": 817, ""sample_2_time"": 542, ""sample_2_x"": 789, ""sample_0_y"": 520, ""sample_4_y"": 710, ""first_y"": 520, ""sample_4_x"": 658, ""sample_1_time"": 283, ""last_x"": 658, ""first_time"": 8, ""sample_2_y"": 600, ""sample_0_x"": 890, ""sample_3_x"": 708, ""last_time"": 1075, ""sample_1_x"": 840, ""sample_1_y"": 572}"
164800,19,righth,3+,yes,0,"""0-1""",29,45,135.1270414,3285,1008,"{""sample_2_time"": 508, ""first_time"": 8, ""sample_0_y"": 496, ""sample_1_time"": 267, ""sample_3_x"": 703, ""sample_4_x"": 674, ""sample_4_y"": 277, ""sample_0_time"": 8, ""sample_1_x"": 841, ""last_x"": 674, ""sample_0_x"": 879, ""sample_2_x"": 749, ""last_time"": 1008, ""last_y"": 277, ""sample_2_y"": 344, ""first_x"": 879, ""sample_4_time"": 1008, ""sample_3_y"": 306, ""first_y"": 496, ""sample_1_y"": 469, ""sample_3_time"": 775, ""count"": 115}"
164800,19,righth,3+,yes,0,"""0-1""",30,45,47.15868588,2499,1149,"{""first_x"": 920, ""sample_0_y"": 499, ""sample_2_time"": 574, ""sample_1_time"": 300, ""sample_1_y"": 460, ""count"": 133, ""sample_3_time"": 874, ""last_y"": 268, ""sample_0_time"": 7, ""sample_3_x"": 1088, ""sample_2_y"": 368, ""sample_2_x"": 1033, ""first_time"": 7, ""first_y"": 499, ""sample_4_y"": 268, ""sample_1_x"": 965, ""sample_4_time"": 1148, ""sample_0_x"": 920, ""sample_4_x"": 1117, ""last_x"": 1117, ""last_time"": 1148, ""sample_3_y"": 303}"
164800,19,righth,3+,yes,0,"""0-1""",31,135,221.8272061,2969,3124,"{""sample_0_time"": 8, ""last_x"": 662, ""sample_2_y"": 479, ""sample_1_x"": 717, ""first_time"": 8, ""last_time"": 3123, ""last_y"": 715, ""sample_0_x"": 883, ""sample_4_y"": 715, ""count"": 323, ""sample_1_y"": 663, ""sample_0_y"": 517, ""sample_2_time"": 1428, ""sample_3_y"": 533, ""first_y"": 517, ""sample_4_time"": 3123, ""sample_3_x"": 858, ""sample_4_x"": 662, ""sample_3_time"": 2419, ""sample_1_time"": 711, ""sample_2_x"": 934, ""first_x"": 883}"
164800,19,righth,3+,yes,0,"""0-1""",32,315,309.3907256,2666,1654,"{""sample_2_time"": 774, ""first_y"": 515, ""sample_3_y"": 716, ""sample_0_y"": 515, ""sample_1_y"": 578, ""count"": 181, ""sample_2_x"": 1024, ""sample_4_time"": 1654, ""sample_1_time"": 383, ""sample_2_y"": 650, ""last_y"": 748, ""last_x"": 1102, ""sample_4_x"": 1102, ""sample_3_time"": 1166, ""sample_4_y"": 748, ""first_time"": 8, ""first_x"": 917, ""sample_3_x"": 1070, ""sample_1_x"": 954, ""sample_0_x"": 917, ""last_time"": 1654, ""sample_0_time"": 8}"
164800,19,righth,3+,yes,0,"""0-1""",33,315,221.3208576,2292,954,"{""first_x"": 889, ""sample_4_time"": 954, ""last_time"": 954, ""sample_2_y"": 651, ""sample_2_x"": 744, ""sample_1_time"": 230, ""count"": 107, ""last_x"": 660, ""sample_4_y"": 713, ""sample_1_x"": 820, ""sample_0_y"": 523, ""first_time"": 8, ""sample_0_x"": 889, ""last_y"": 713, ""sample_1_y"": 583, ""sample_0_time"": 8, ""sample_3_time"": 712, ""first_y"": 523, ""sample_3_x"": 689, ""sample_4_x"": 660, ""sample_2_time"": 488, ""sample_3_y"": 688}"
